url,titulo,texto,status,local,data_hora,problem_type,product_type,category,texto2
https://www.reclameaqui.com.br/electrolux/purificador-acqua-pure-nao-funciona_nvKUwPIYaD5lVueu/,Purificador Acqua pure não funciona,"Recentemente adquiri um purificador Acqua pure, porém ele vem apresentando um defeito: não sai água.
Todas as luzes se acendem, mas ao acionar o botão de iniciar o fluxo de água, o produto não responde. Ontem mesmo eu estava usando e estava tudo certo.
Não é problema de refil saturado, visto que acende uma luz vermelha quando indica a necessidade de troca de refil, e isso não aconteceu. Como o produto está na garantia, solicito verificação por técnicos",,Cariacica - ES,26/07/2024 às 18:54,Não encontrei meu problema,Purificador,Assistência técnica,--
https://www.reclameaqui.com.br/electrolux/geladeira-com-barulho_9MBN6dXYKW42_Yg2/,Geladeira com barulho,"Geladeira começou a fazer barulho com menos de 1 ano de uso , chamamos o técnico e ele mexeu e resolveu temporariamente, o barulho voltou a fazer novamente.
Não quero mecha novamente quero trocar meu produto trocado ou meu dinheiro de volta muito dinheiro a vista para ter problemas, outro detalhe o problema é crônico porque o técnico foi direto onde estava o barulho mais não resolveu.",,São José dos Campos - SP,26/07/2024 às 18:49,Não encontrei meu problema,Geladeira-Refrigerador,Fazendo muito barulho,--
https://www.reclameaqui.com.br/electrolux/terei-que-acionar-a-electrolux-via-procon-e-juridico_geJp_l6p22Nf3b6i/,TEREI QUE ACIONAR A ELECTROLUX VIA PROCON E JURIDICO?,"Reclamacao de 06/04/2024 - Realizada no reclame aqui

Prezados Foram adquiridos toda a linha da Eletrolux para nossa cozinha e área gourmet, ao todo foram adquiridos acima de 13 itens, dos quais alguns não apresentaram a performance desejada e qual gostariamos de proceder com a devolução e ressarcimento de valores.


Foi realizado a tentativa conforme orientação da Electrolux diretamente junto as lojas que foram adquiridos, porém não tivemos receptividade que desejamos e entendemos que problemas de performance do produto é de responsabilidade do fabricante.


Abaixo os itens, data de compra, nome da loja, número de nota fiscal e motivo individual da devolução:


2 Depuradores de ar RETR 60 cm EXDE6RX1 110 v - NF 903160 - Fast shop - Valor total R$ 2219,37 - compra em 20/02/24

Motivo insatisfação: Baixa potencia de sucção não cumpre com a função primária


1 Robô Aspirador Electrolux ERB40 19V Azul - NF 75246 - Magazine Luiza - Compra em 07/05/2024

Valor R$ 1128,90

Motivo insatisfação: Baixa potencia de aspiração e sem eficiência


1 CHAPA GRILL ELECTROLUX DE FERRO FUNDIDO PARA FOGÃO. INDUÇÃO. FORNO e CHURRASQUEIRAS - Pedido #V48413427elux-01 - loja electrolux on line - compra em 07/05/2024 - Valor R$ 219,90

Motivo insatisfação: Após primeiro uso ocorreu o enferrujamento


Valor total de itens quais desejados devolver e ressarcimento R$ 3.568,17


Os itens abaixo adquiridos da Marca Electrolux estão dentro da espectativa: geladeira, fogão de indução 4 bocas, microondas, forno, air fryer, cooktop 5 bocas, torradeira, filtro de agua, lava loucas 14 serviços.


Aguardamos breve retorno!


Abs


*******

Tel*******

E-mail: *******


Foi mensurado durante as ligacoes telefonicas que náo queremos os produtos devido baixa performance. Assim mesmo foi solicitado que ocorresse analise dos produtos pela equipe tecnica.

Levamos o aspirador de po e náo tivemos retorno!

Os depuradores nao tivemos retorno até o prezado momento. A empresa nao compareceu no horario combinado.

TEREI QUE ACIONAR A ELECTROLUX VIA PROCON E JURIDICO?
NÁO QUEREMOS OS REFERIDOS PRODUTOS! APRESENTAM PERFORMANCE BAIXA E DIVERSAS RECLAMACOES NO RECLAME AQUI. VICIO DE PRODUTO.",,São Bernardo do Campo - SP,26/07/2024 às 18:48,--,--,--,--
https://www.reclameaqui.com.br/electrolux/air-fryer-rita-lobo_HOen7x1Z8NW86QH3/,air fryer -Rita Lobo,"Boa tarde!
Venho fazer reclamação do modelo air fryer - Rita Lobo, se não estou enganada tem somente 5 meses de uso e está fazendo barulho como se tivesse uma peça solta. Comprei para minha filha fazer uso principalmente quando fica sozinha em casa e com o problema estamos evitando de usá-lo. Nem terminei de pagá-lo, portanto, exigimos um retorno da marca que sinceramente está deixando muito à desejar.
Fico no aguardo,
*******.",,Lages - SC,26/07/2024 às 18:28,--,--,--,--
https://www.reclameaqui.com.br/electrolux/air-fryer-com-espeto-giratorio-curto_97JA8jmn4fr89xm7/,Air fryer com espeto giratório curto,"Comprei pela internet uma Air fryer electrolux modelo EAF90 no dia 24/07/2024 e quando fui encaixar o espeto para testar o modo Rotisserie veio a surpresa. O espeto é curto, encaixa do lado do orificio do giro na lateral esquerda, porém não alcança a outra lateral de modo que aconteça o encaixe correto conforme orientação do manual de instruções item 8.
Um dos principais motivos pelo qual comprei esse modelo foi pelo fato de ter a função Rotisserie e quando fui testar veio a decepção.
Quero um espeto maior que encaixe perfeitamente.
Caso seja necessário posso mandar vídeos encaixando o espeto e mostrando como fica curto.",,Cuiabá - MT,26/07/2024 às 17:46,Eletroportáteis,Fritadeira elétrica,Produto com defeito,--
https://www.reclameaqui.com.br/electrolux/geladeira-fundiu-o-motor_KxHntoE3KKteD2ON/,Geladeira fundiu o motor,Minha mãe tem uma geladeira da Electrolux e agora simplesmente fundiu o motor e para consertar é praticamente o preço de uma nova! É um absurdo. Infelizmente a marca perdeu a qualidade e não podemos ficar no prejuízo.,,Curvelo - MG,26/07/2024 às 17:37,Eletrodomésticos,Geladeira-Refrigerador,Produto com defeito,--
https://www.reclameaqui.com.br/electrolux/necessito-retorno-da-os-svo-18033133_UAdIUW8frPWltnzt/,Necessito retorno da OS... SVO 18033133,"Freezer LOTADO com funcionamento irregular..só refrigera mas não mantém congelamento... assistência diz que pediu peças...5 a 10 dias úteis !!!!

É um FREEZER LOTADO e não um microondas que posso usar fogão como https://******* eu perder os produtos que ainda estão congelados mas aquecendo por falta de congelamento vou ter um prejuízo de mais de R$ 5.000,00.

Tem produto que precisa ser mantido CONGELADO a - 18 graus C.....
Necessito um retorno da Electrolux para entregar as peças mais rápido..

Podem me ajudar ???",,Santana de Parnaíba - SP,26/07/2024 às 17:16,Não encontrei meu problema,--,Não gela,--
https://www.reclameaqui.com.br/electrolux/problema-com-prateleira-retratil-e-barulho-no-motor-da-geladeira-electrolux_iRyuIe-ZDT8UTr4R/,Problema com Prateleira Retrátil e Barulho no Motor da Geladeira Electrolux IM8S,"Olá,

Estou enfrentando dois problemas com minha geladeira Electrolux, modelo IM8S, comprada em dezembro de 2022.

Prateleira Retrátil: A prateleira retrátil da geladeira trincou em vários pontos recentemente. De acordo com o manual, ela suporta até 20 kg, mas o peso que coloco nela é muito inferior a esse limite. Uso a prateleira para itens pequenos como potes de requeijão de 200g, potes de doces de 300g, manteiga, geleia e presunto, totalizando no máximo 5 kg. Além disso, o espaço disponível na prateleira é tão pequeno que ultrapassar o limite de peso especificado seria praticamente impossível. Portanto, acredito que o problema seja de fabricação ou material.

Barulho no Motor: Também percebi um barulho estranho vindo do motor da geladeira. Não tenho certeza se esse ruído é normal, mas gostaria de orientação sobre o que pode estar causando isso e se é algo que precisa de reparo.

Quando tentei buscar suporte pelo site da Electrolux, fui informado de que a geladeira está fora do período de garantia. No entanto, quando adquiri o produto, foi-me informado que a garantia seria de 24 meses, então acredito que ainda esteja dentro do período de cobertura.

Gostaria de solicitar uma solução para esses problemas e um esclarecimento sobre a situação da garantia. Agradeço a atenção e aguardo uma resposta.

Atenciosamente,",,São José do Rio Preto - SP,26/07/2024 às 16:48,Eletrodomésticos,Geladeira-Refrigerador,Produto quebrou com pouco tempo de uso,--
https://www.reclameaqui.com.br/electrolux/autorizada-nao-efetuou-a-troca-da-peca_0QJTwjDZB5IPcYs4/,Autorizada não efetuou a troca da peça.,"Em 25/06/2024 registrei uma reclamação referente a um defeito na minha lavadora.. pois bem, depois de muito tempo e muita paciência, a electrolux resolveu enviar um técnico para constatar o defeito ( DA MESMA AUTORIZADA - FRAV DE REALENGO - QUE ANTERIORMENTE INFORMOU QUE NAO HAVIA DEFEITO ).
Recebi o técnico no dia 21/07/2024 e o mesmo constatou o defeito na eletrobomba, porém teria que retornar outro dia com a peça em, pois não havia recebido para a troca.
Recebi contato da assistência no dia 23/07 solicitando o agendamento.. feito para o dia 25/07, sem comparecimento de técnico.
Recebi um outro contato no mesmo dia reagendar para o dia seguinte, 26/07.. adivinhem.. o técnico mais uma vez não compareceu.
Na minha opinião, a electrolux deve descredenciar essa autorizada FRAV de REALENGO, pois não cumprem com o combinado e quando vamos fazer contato para pedir informações ou até mesmo tirar dúvidas sobre o atendimento, somos mal tratados e recebidos com arrogância.

Segue abaixo a reclamação aberta anteriormente:

"" Ao solicitar a assistência técnica para minha lavadora, fui atendido pela representante FRAV DE REALENGO ( Ordem de Serviço: SVO-17860766

Nome: Frav de Realengo Refrigeração LTDA).

A parceira enviou um técnico que não avaliou de forma correta meu aparelho. Em avaliação junto a electrolux, reclamei do atendimento e dei uma avaliação ruim. automaticamente o representante entrou em contato comigo referente ao atendimento prestado pelo técnico e solicitando imagens do funcionamento da máquina. Enviei as informações por WhatsApp e o mesmo agendou uma nova visita para o dia 01/06/2024 ( parte da manhã ). Me programei para receber o técnico em minha residência, deixei de sair para resolver outros assuntos e até mesmo deixei de trabalhar para poder acompanhar a visita técnica. O técnico não compareceu. Tentei contato telefônico e por WhatsApp com a loja e tbm não obtive sucesso.

Na segunda, dia 03/06/2024, recebi uma ligação de um representante da FRAV solicitando um novo agendamento para a visita. novamente a visita foi agendada para sábado dia 08/06/2024 e novamente o técnico não compareceu na minha residência. mais um dia perdido aguardando a visita técnica para minha lavadora.

Gostaria de uma posição da Electrolux referente ao ocorrido e, de preferência, agende a visita para outro representante que cumpra seus compromissos. Lembrando que, a 1 solicitação foi feita há 1 mês ! """,,Rio de Janeiro - RJ,26/07/2024 às 16:45,Eletrodomésticos,Lavadora de roupas e Tanquinho,Assistência técnica,--
https://www.reclameaqui.com.br/electrolux/batedeira-nova-com-defeito_z7OPE-YgnQDT0Cco/,Batedeira nova com defeito,"Na data do dia 15/05/2023, comprei uma batedeira da marca Eletrolux
Planetária EKM30.
Onde a mesma apresentou defeito no primeiro uso , com dificuldade para tirara o batedor , usada uma segunda vez o batedor não saiu mais , para não quebrar o produto, entrei em contato com a empresa, onde ela me enviou o endereço da assistência técnica , onde levei o produto , qua está lá para análise a alguns dias , e na data de hoje me falaram que não e um defeito de fábrica que a empresa não cobre o problema na garantia .
Deixei de comprar uma Arno que já conheço as batedeiras dela pela metade do valor , pois queria algo melhor , porém foi uma decepção, pois a batedeira da Eletrolux e super lenta , e apresentou defeito dentro da garantia . Pois tirar um batedor e a coisa mais simples de fazer .
Pois bem estou com um produto, dentro das minhas condições caro, pois nem paguei ela ainda , com defeito que não vou consegui usar ,pois não tem como lavar pós uso.
A autorizada simplesmente deixou do mesmo jeito !
Não recomendo o produto , velocidade lenta e super frágil comprada a outras marcas de menor valor.",,Bragança Paulista - SP,26/07/2024 às 16:40,--,--,--,--
